nan,"
                        3562 SJ Utrecht (Zamenhofdreef en omgeving)
        ","
                    €1,375 per month
                ",81 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/063cb4c7/korfoedreef"">Apartment Korfoedreef</a>"
nan,"
                        3584 GT Utrecht (Rijnsweerd)
        ","
                    €1,295 per month
                ",63 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/7b5aa7b1/eduard-verkadelaan"">Apartment Eduard Verkadelaan 117</a>"
nan,"
                        3573 AG Utrecht (Voordorp en Voorveldsepolder)
        ","
                    €1,350 per month
                ",78 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/ec162e0a/aartsbisschop-romerostraat"">Apartment Aartsbisschop Romerostraat</a>"
nan,"
                        3571 PB Utrecht (Tuindorp-Oost)
        ","
                    €1,300 per month
                ",70 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/508f19bc/hijmans-van-den-berghlaan"">Apartment Hijmans van den Berghlaan</a>"
nan,"
                        3554 CL Utrecht (Geuzenwijk)
        ","
                    €1,495 per month
                ",89 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/d7a5d24c/jacob-simonsz-de-rijkstraat"">Apartment Jacob Simonsz. de Rijkstraat</a>"
nan,"
                        3582 GH Utrecht (L. Napoleonplantsoen en omgeving)
        ","
                    €1,425 per month
                ",80 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/bfd93471/koningsweg"">Apartment Koningsweg</a>"
nan,"
                        3552 XE Utrecht (Zamenhofdreef en omgeving)
        ","
                    €1,375 per month
                ",75 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/a598d368/loevenhoutsedijk"">Apartment Loevenhoutsedijk</a>"
nan,"
                        3523 VD Utrecht (Oud Hoograven-Noord)
        ","
                    €1,695 per month
                ",75 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/fd9e1ba1/prinses-beatrixplein"">Apartment Prinses Beatrixplein</a>"
nan,"
                        3523 AN Utrecht (Tolsteeg en Rotsoord)
        ","
                    €1,495 per month
                ",69 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/4afa2cc4/tolsteegplantsoen"">Apartment Tolsteegplantsoen 43 1</a>"
nan,"
                        3527 JG Utrecht (Transwijk-Noord)
        ","
                    €1,450 per month
                ",103 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/64fc68e3/van-vollenhovenlaan"">Apartment Van Vollenhovenlaan</a>"
nan,"
                        3581 CG Utrecht (Buiten Wittevrouwen)
        ","
                    €1,680 per month
                ",64 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/dadeeb1c/maliebaan"">Apartment Maliebaan 71 11</a>"
nan,"
                        3552 CR Utrecht (Ondiep)
        ","
                    €1,750 per month
                ",140 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/house-for-rent/utrecht/0dd9d8f0/thorbeckelaan"">House Thorbeckelaan</a>"
nan,"
                        3511 AV Utrecht (Breedstraat en Plompetorengracht en omgeving)
        ","
                    €1,350 per month
                ",60 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/2223e609/oudegracht"">Apartment Oudegracht</a>"
nan,"
                        3551 SL Utrecht (2e Daalsebuurt en omgeving)
        ","
                    €1,450 per month
                ",58 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/house-for-rent/utrecht/d2f08938/dirkje-mariastraat"">House Dirkje Mariastraat</a>"
nan,"
                        3521 BE Utrecht (Dichterswijk)
        ","
                    €1,700 per month
                ",70 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/507b14ef/veilingstraat"">Apartment Veilingstraat</a>"
nan,"
                        3512 BD Utrecht (Domplein, Neude, Janskerkhof)
        ","
                    €1,700 per month
                ",75 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/c1e2195b/jansveld"">Apartment Jansveld 3 D</a>"
